file,values
03727.txt,"[""'aggression"", ""'attack"", ""'casualties"", ""'fighter"", ""'invasion"", ""'land"", ""'military"", ""'rebellion"", ""'tank"", ""'war""]"
00101.txt,"[""'attack"", ""'capture"", ""'genocide"", ""'murder"", ""'slaughter"", ""'tactics"", ""'war""]"
03684.txt,"[""'destroy"", ""'destruction"", ""'target"", ""'threat"", ""'violence""]"
03357.txt,"[""'coalition"", ""'death"", ""'die"", ""'fight"", ""'kill"", ""'murder"", ""'secret"", ""'suffering""]"
02280.txt,"[""'bomb"", ""'brutal"", ""'casualties"", ""'conspiracy"", ""'target"", ""'war""]"
01368.txt,"[""'assault"", ""'fight"", ""'guns"", ""'guns"", ""'radical"", ""'secret"", ""'war"", ""'weapons""]"
04283.txt,"[""'bomb"", ""'disaster"", ""'explosive"", ""'missile"", ""'sabotage"", ""'wreckage""]"
00682.txt,"[""'assault"", ""'attack"", ""'death"", ""'radical"", ""'sabotage"", ""'threat"", ""'weapons""]"
03894.txt,"[""'attack"", ""'disastrous"", ""'missile"", ""'notorious"", ""'security"", ""'tank"", ""'target"", ""'threat""]"
00548.txt,"[""'attack"", ""'death"", ""'disease"", ""'fatal"", ""'suffering""]"
01872.txt,"[""'assassinate"", ""'dead"", ""'guns"", ""'kill"", ""'guns"", ""'military"", ""'murder"", ""'secret""]"
00139.txt,"[""'dead"", ""'death"", ""'fight"", ""'investigations"", ""'secret"", ""'target"", ""'war""]"
03889.txt,"[""'attack"", ""'guns"", ""'investigate"", ""'guns"", ""'terrorist""]"
01536.txt,"[""'coalition"", ""'militant"", ""'military"", ""'radical"", ""'rebellion"", ""'strategic"", ""'threat"", ""'war""]"
02055.txt,"[""'deadly"", ""'disaster"", ""'land"", ""'mines"", ""'mines"", ""'wreckage""]"
01691.txt,"[""'bomb"", ""'disaster"", ""'bombs"", ""'guns"", ""'guns"", ""'security"", ""'terrorism"", ""'threat""]"
02063.txt,"[""'death"", ""'disaster"", ""'fatal"", ""'strategy"", ""'terrorism""]"
00684.txt,"[""'investigate"", ""'militaristic"", ""'mistreatment"", ""'security"", ""'strategy"", ""'target"", ""'violence""]"
00073.txt,"[""'casualties"", ""'dead"", ""'military"", ""'mission"", ""'rebel"", ""'security"", ""'war""]"
02160.txt,"[""'assault"", ""'death"", ""'explosive"", ""'fight"", ""'military"", ""'security"", ""'target""]"
03605.txt,"[""'attack"", ""'death"", ""'destruction"", ""'injuries"", ""'overthrow"", ""'threat""]"
04399.txt,"[""'casualties"", ""'machine"", ""'strategy"", ""'surrender"", ""'war""]"
01155.txt,"[""'death"", ""'military"", ""'security"", ""'strategy"", ""'threat""]"
01813.txt,"[""'disaster"", ""'explosion"", ""'rocket"", ""'secrecy"", ""'secret"", ""'satellite"", ""'target""]"
01740.txt,"[""'anguish"", ""'death"", ""'destruction"", ""'proliferation"", ""'secret"", ""'threaten""]"
04181.txt,"[""'annihilate"", ""'attack"", ""'destruction"", ""'kill"", ""'military"", ""'missile"", ""'rocket"", ""'secret"", ""'security"", ""'strategic"", ""'submarine"", ""'target"", ""'threat"", ""'threaten"", ""'war"", ""'warheads"", ""'weapon"", ""'weapons""]"
02974.txt,"[""'attack"", ""'fight"", ""'strategist"", ""'strategy"", ""'target""]"
04071.txt,"[""'attack"", ""'bomb"", ""'casualties"", ""'deadly"", ""'destruction"", ""'escape"", ""'explosion"", ""'explosive"", ""'kill"", ""'military"", ""'militia"", ""'missile"", ""'proliferation"", ""'security"", ""'spy"", ""'spy"", ""'target"", ""'terror"", ""'terrorism"", ""'terrorist"", ""'threat"", ""'war"", ""'weapon"", ""'weapons""]"
04005.txt,"[""'bomb"", ""'disaster"", ""'explosion"", ""'explosive"", ""'injuries"", ""'missile"", ""'tank"", ""'wreckage""]"
02022.txt,"[""'capture"", ""'dead"", ""'disaster"", ""'explosive"", ""'investigations"", ""'suspect"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
00791.txt,"[""'seize"", ""'satellite"", ""'strategic"", ""'threat"", ""'threaten""]"
00148.txt,"[""'assault"", ""'casualties"", ""'death"", ""'military"", ""'strategic"", ""'war""]"
02295.txt,"[""'attack"", ""'death"", ""'guns"", ""'machine"", ""'guns"", ""'war""]"
01600.txt,"[""'dead"", ""'land"", ""'military"", ""'rebel"", ""'security"", ""'war""]"
01946.txt,"[""'bomb"", ""'bombs"", ""'security"", ""'surrender"", ""'terrorism""]"
00281.txt,"[""'death"", ""'fight"", ""'investigations"", ""'kill"", ""'land""]"
02788.txt,"[""'attack"", ""'explosion"", ""'machine"", ""'military"", ""'vicious"", ""'war""]"
01728.txt,"[""'trap"", ""'escape"", ""'fatal"", ""'mission"", ""'radical"", ""'satellite"", ""'surrender"", ""'weapons""]"
03006.txt,"[""'assault"", ""'capture"", ""'die"", ""'fight"", ""'strategy"", ""'target""]"
01023.txt,"[""'dead"", ""'death"", ""'disease"", ""'land"", ""'rocket"", ""'war""]"
02902.txt,"[""'brutal"", ""'conspiracy"", ""'die"", ""'flee"", ""'guns"", ""'informant"", ""'guns"", ""'military"", ""'murder"", ""'threaten"", ""'vicious""]"
00578.txt,"[""'attack"", ""'bomb"", ""'fatal"", ""'fight"", ""'mission""]"
03949.txt,"[""'assault"", ""'fight"", ""'military"", ""'violence"", ""'war""]"
03156.txt,"[""'attack"", ""'disease"", ""'fatal"", ""'injuries"", ""'radiation"", ""'war""]"
01747.txt,"[""'aggression"", ""'destroy"", ""'savage"", ""'security"", ""'violence"", ""'war""]"
00827.txt,"[""'dead"", ""'death"", ""'destruction"", ""'land"", ""'military""]"
00387.txt,"[""'destroy"", ""'military"", ""'overthrow"", ""'slaughter"", ""'terrorist"", ""'war""]"
02816.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'dead"", ""'death"", ""'devastation"", ""'disaster"", ""'fight"", ""'fighter"", ""'guided"", ""'guns"", ""'land"", ""'guns"", ""'military"", ""'missile"", ""'security"", ""'surrender"", ""'terrorist"", ""'threaten"", ""'war""]"
01446.txt,"[""'fight"", ""'guns"", ""'land"", ""'guns"", ""'mission"", ""'munitions"", ""'submarine"", ""'war""]"
01623.txt,"[""'attack"", ""'bomb"", ""'disaster"", ""'explode"", ""'explosion"", ""'investigations"", ""'military"", ""'missile"", ""'security"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
00591.txt,"[""'attack"", ""'chaos"", ""'fight"", ""'military"", ""'radical"", ""'security"", ""'war""]"
02246.txt,"[""'aggression"", ""'brutal"", ""'coalition"", ""'military"", ""'threat"", ""'war""]"
02304.txt,"[""'destroy"", ""'military"", ""'rebel"", ""'security"", ""'war"", ""'weapons""]"
02954.txt,"[""'reconnaissance"", ""'tactics"", ""'target"", ""'threat"", ""'war""]"
01031.txt,"[""'bomb"", ""'investigate"", ""'investigations"", ""'mission"", ""'tactics""]"
04299.txt,"[""'aggressor"", ""'military"", ""'missile"", ""'outbreak"", ""'secret"", ""'security"", ""'strategic"", ""'terrorism"", ""'terrorist"", ""'war"", ""'weapons""]"
03619.txt,"[""'attack"", ""'defiant"", ""'execution"", ""'invasion"", ""'military"", ""'missile"", ""'security"", ""'strategic"", ""'threat"", ""'war""]"
03501.txt,"[""'attack"", ""'brutal"", ""'death"", ""'land"", ""'rebellion"", ""'retaliation"", ""'suffering"", ""'terror""]"
01354.txt,"[""'attack"", ""'military"", ""'missile"", ""'security"", ""'strategist""]"
04034.txt,"[""'casualties"", ""'disaster"", ""'evacuate"", ""'flee"", ""'tank"", ""'threaten""]"
00205.txt,"[""'fight"", ""'mission"", ""'strategist"", ""'strategy"", ""'tank"", ""'threat"", ""'war""]"
03924.txt,"[""'assault"", ""'attack"", ""'fight"", ""'investigate"", ""'military"", ""'security"", ""'violence"", ""'war""]"
03556.txt,"[""'capture"", ""'death"", ""'execution"", ""'fight"", ""'hostile"", ""'military"", ""'murder"", ""'security"", ""'suspect"", ""'vociferous"", ""'war""]"
02519.txt,"[""'attack"", ""'escape"", ""'hostile"", ""'massacre"", ""'military"", ""'terrorist"", ""'war""]"
01878.txt,"[""'chaos"", ""'investigations"", ""'radical"", ""'security"", ""'suspect""]"
01756.txt,"[""'brutal"", ""'death"", ""'disease"", ""'military"", ""'overthrow"", ""'retaliation"", ""'retribution"", ""'revenge"", ""'seize"", ""'violence""]"
03126.txt,"[""'bomb"", ""'investigate"", ""'investigations"", ""'mission"", ""'tactics""]"
02513.txt,"[""'attack"", ""'death"", ""'destruction"", ""'injuries"", ""'overthrow""]"
00434.txt,"[""'coalition"", ""'dead"", ""'hostile"", ""'security"", ""'strategy"", ""'suffering"", ""'threat""]"
03207.txt,"[""'explosion"", ""'fight"", ""'land"", ""'security"", ""'violence"", ""'war""]"
02182.txt,"[""'attack"", ""'captive"", ""'death"", ""'insurgent"", ""'land"", ""'rebel"", ""'security"", ""'violence""]"
02124.txt,"[""'death"", ""'die"", ""'disease"", ""'radiation"", ""'security""]"
02165.txt,"[""'attack"", ""'chaos"", ""'die"", ""'disaster"", ""'massacre"", ""'security"", ""'war""]"
03933.txt,"[""'attack"", ""'disaster"", ""'rebel"", ""'security"", ""'strategy"", ""'threat""]"
04382.txt,"[""'assassinate"", ""'disaster"", ""'guided"", ""'investigate"", ""'kill"", ""'mission"", ""'proliferation"", ""'security"", ""'terrorism"", ""'terrorist"", ""'weapons""]"
00237.txt,"[""'trap"", ""'investigate"", ""'investigations"", ""'security"", ""'target""]"
00863.txt,"[""'dead"", ""'kill"", ""'menace"", ""'outbreak"", ""'siege"", ""'war""]"
03320.txt,"[""'coalition"", ""'military"", ""'secret"", ""'spy"", ""'spy"", ""'satellite"", ""'strategist"", ""'strategy"", ""'war"", ""'weapon""]"
00406.txt,"[""'explosion"", ""'invasion"", ""'murder"", ""'strategic"", ""'target"", ""'terrorism"", ""'threat"", ""'war"", ""'weapons""]"
00062.txt,"[""'bomb"", ""'guns"", ""'guns"", ""'security"", ""'suspect"", ""'terrorism"", ""'weapons""]"
04334.txt,"[""'attack"", ""'disaster"", ""'military"", ""'security"", ""'strangle"", ""'terrorist"", ""'threat"", ""'violence"", ""'war""]"
04202.txt,"[""'attack"", ""'land"", ""'military"", ""'proliferation"", ""'seize"", ""'satellite""]"
03667.txt,"[""'deadly"", ""'death"", ""'fight"", ""'land"", ""'military"", ""'murder"", ""'strategy"", ""'terrorism"", ""'terrorist"", ""'violence"", ""'weapons""]"
00977.txt,"[""'assault"", ""'attack"", ""'guns"", ""'guns"", ""'threaten"", ""'violence"", ""'weapons""]"
00134.txt,"[""'attack"", ""'brutal"", ""'machine"", ""'notorious"", ""'seize"", ""'war""]"
03754.txt,"[""'attack"", ""'coalition"", ""'disease"", ""'fatal"", ""'strategic""]"
01788.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'die"", ""'fight"", ""'warfare"", ""'mission"", ""'surrender"", ""'tragic"", ""'vicious"", ""'war"", ""'weapons""]"
04065.txt,"[""'death"", ""'machine"", ""'security"", ""'strategic"", ""'tank"", ""'war""]"
00347.txt,"[""'invasion"", ""'massacre"", ""'military"", ""'security"", ""'violence""]"
03274.txt,"[""'guns"", ""'machine"", ""'guns"", ""'military"", ""'mortars"", ""'rebel"", ""'security"", ""'war""]"
02530.txt,"[""'brutal"", ""'brutality"", ""'dead"", ""'death"", ""'war""]"
00131.txt,"[""'military"", ""'rocket"", ""'security"", ""'strategic"", ""'tank"", ""'threat"", ""'war"", ""'weapons""]"
01906.txt,"[""'destroy"", ""'invasion"", ""'military"", ""'security"", ""'war"", ""'weapons""]"
01413.txt,"[""'death"", ""'explosion"", ""'bombs"", ""'security"", ""'terrorism"", ""'tragic"", ""'wreckage""]"
02109.txt,"[""'explosion"", ""'land"", ""'military"", ""'mission"", ""'secret"", ""'security"", ""'wreckage""]"
01381.txt,"[""'attack"", ""'fight"", ""'strategist"", ""'strategy"", ""'target""]"
04035.txt,"[""'attack"", ""'bomb"", ""'security"", ""'spy"", ""'spy"", ""'terrorism"", ""'terrorist"", ""'war""]"
01079.txt,"[""'attack"", ""'bomb"", ""'die"", ""'bombs"", ""'mission"", ""'outbreak"", ""'strategy"", ""'terror"", ""'violence""]"
02173.txt,"[""'coalition"", ""'land"", ""'satellite"", ""'strategic"", ""'violence""]"
01780.txt,"[""'assault"", ""'deadly"", ""'fight"", ""'guns"", ""'land"", ""'guns"", ""'strategy"", ""'weapons""]"
00947.txt,"[""'bomb"", ""'breach"", ""'guns"", ""'guns"", ""'security"", ""'suspect"", ""'terrorism"", ""'threat"", ""'weapons""]"
00315.txt,"[""'attack"", ""'coalition"", ""'hostile"", ""'military"", ""'missile"", ""'murder"", ""'revenge"", ""'war""]"
02572.txt,"[""'assault"", ""'death"", ""'die"", ""'disease"", ""'fight"", ""'injuries"", ""'kill"", ""'war"", ""'weapons""]"
00423.txt,"[""'conspiracy"", ""'death"", ""'investigations"", ""'security"", ""'threat"", ""'war""]"
02785.txt,"[""'anarchy"", ""'attack"", ""'capture"", ""'death"", ""'destruction"", ""'fighter"", ""'invasion"", ""'land"", ""'military"", ""'provocation"", ""'rebellion"", ""'security"", ""'treachery"", ""'war""]"
01776.txt,"[""'capture"", ""'dead"", ""'land"", ""'military"", ""'tank"", ""'war""]"
02447.txt,"[""'assault"", ""'attack"", ""'casualties"", ""'dead"", ""'death"", ""'destroy"", ""'military"", ""'rebel"", ""'retaliation"", ""'revenge""]"
02205.txt,"[""'attack"", ""'coalition"", ""'destruction"", ""'warfare"", ""'hostile"", ""'military"", ""'missile"", ""'proliferation"", ""'security"", ""'strategic"", ""'threat"", ""'war"", ""'warheads"", ""'weapons""]"
04391.txt,"[""'annihilate"", ""'death"", ""'fight"", ""'strategist"", ""'target""]"
03363.txt,"[""'brutality"", ""'chaos"", ""'destroy"", ""'die"", ""'fight"", ""'murder"", ""'violence"", ""'war""]"
04024.txt,"[""'anarchy"", ""'disastrous"", ""'military"", ""'missile"", ""'suffering"", ""'threat"", ""'war"", ""'weapons""]"
04245.txt,"[""'attack"", ""'casualties"", ""'military"", ""'rebel"", ""'security"", ""'war"", ""'weapons""]"
00318.txt,"[""'assault"", ""'attack"", ""'bomb"", ""'bombardment"", ""'trap"", ""'flee"", ""'kill"", ""'military"", ""'mortars"", ""'rebel"", ""'security"", ""'threat"", ""'war""]"
00231.txt,"[""'attack"", ""'death"", ""'die"", ""'investigate"", ""'military"", ""'security""]"
04163.txt,"[""'bomb"", ""'dead"", ""'disaster"", ""'explosion"", ""'explosive"", ""'missile"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
00554.txt,"[""'guns"", ""'guns"", ""'military"", ""'radical"", ""'threat"", ""'war""]"
01201.txt,"[""'attack"", ""'dead"", ""'death"", ""'invasion"", ""'military"", ""'radical"", ""'secret"", ""'threat"", ""'war""]"
00240.txt,"[""'fight"", ""'warfare"", ""'mayhem"", ""'military"", ""'rebel"", ""'seize"", ""'violence""]"
01239.txt,"[""'conspiracy"", ""'death"", ""'warfare"", ""'military"", ""'secrecy"", ""'secret"", ""'tactics"", ""'war""]"
02815.txt,"[""'assault"", ""'attack"", ""'casualties"", ""'dead"", ""'destroy"", ""'military"", ""'rebel"", ""'retaliation"", ""'revenge""]"
04429.txt,"[""'warfare"", ""'machine"", ""'military"", ""'strategic"", ""'strategy"", ""'threaten""]"
02407.txt,"[""'bomb"", ""'destroy"", ""'fight"", ""'kill"", ""'land"", ""'terrorism"", ""'war""]"
00261.txt,"[""'attack"", ""'dead"", ""'destroy"", ""'fatal"", ""'war""]"
01869.txt,"[""'attack"", ""'conspiracy"", ""'die"", ""'investigate"", ""'military"", ""'security""]"
02135.txt,"[""'dead"", ""'land"", ""'secret"", ""'treachery"", ""'war""]"
01766.txt,"[""'coalition"", ""'deadly"", ""'death"", ""'disaster"", ""'explosion"", ""'guided"", ""'hostility"", ""'massacre"", ""'military"", ""'missile"", ""'rebel"", ""'retaliation"", ""'revenge"", ""'seize"", ""'suffering"", ""'violence"", ""'war"", ""'weapons""]"
01565.txt,"[""'infantry"", ""'investigate"", ""'investigations"", ""'terrorism"", ""'terrorist"", ""'threat"", ""'wreckage""]"
02171.txt,"[""'assault"", ""'attack"", ""'dead"", ""'military"", ""'radical"", ""'rebel"", ""'secret"", ""'threat"", ""'war""]"
02588.txt,"[""'assault"", ""'dead"", ""'fight"", ""'guided"", ""'radical"", ""'strategic"", ""'strategist"", ""'strategy"", ""'target"", ""'violence"", ""'weapon"", ""'weapons""]"
03785.txt,"[""'attack"", ""'bomb"", ""'disaster"", ""'explode"", ""'explosion"", ""'investigations"", ""'military"", ""'missile"", ""'security"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
00480.txt,"[""'trap"", ""'military"", ""'security"", ""'strategic"", ""'war""]"
02328.txt,"[""'assault"", ""'attack"", ""'casualties"", ""'fighter"", ""'infantry"", ""'land"", ""'military"", ""'rebel"", ""'siege"", ""'war""]"
01892.txt,"[""'attack"", ""'security"", ""'strategist"", ""'strategy"", ""'target"", ""'threat""]"
02263.txt,"[""'defiant"", ""'land"", ""'military"", ""'security"", ""'strategy"", ""'war""]"
03254.txt,"[""'attack"", ""'dead"", ""'destruction"", ""'bombs"", ""'injuries"", ""'military"", ""'rebel"", ""'violence"", ""'war""]"
01574.txt,"[""'attack"", ""'coalition"", ""'explode"", ""'mission"", ""'proliferation"", ""'strategy"", ""'tank"", ""'threaten"", ""'war""]"
00723.txt,"[""'brutal"", ""'destroy"", ""'disastrous"", ""'escape"", ""'land"", ""'secret""]"
02242.txt,"[""'deadly"", ""'hostility"", ""'land"", ""'security"", ""'war""]"
00829.txt,"[""'fight"", ""'military"", ""'rebel"", ""'security"", ""'war""]"
00587.txt,"[""'assault"", ""'missile"", ""'strategist"", ""'strategy"", ""'war""]"
03711.txt,"[""'attack"", ""'land"", ""'machine"", ""'radical"", ""'target""]"
00864.txt,"[""'fighter"", ""'military"", ""'mission"", ""'war"", ""'warplane""]"
03079.txt,"[""'deadly"", ""'injuries"", ""'sabotage"", ""'security"", ""'satellite""]"
00582.txt,"[""'attack"", ""'insurgent"", ""'military"", ""'security"", ""'threaten"", ""'weapons""]"
00803.txt,"[""'bomb"", ""'dead"", ""'bombs"", ""'mines"", ""'machine"", ""'mines""]"
02671.txt,"[""'attack"", ""'casualties"", ""'dead"", ""'flee"", ""'military"", ""'rebel"", ""'security""]"
01876.txt,"[""'death"", ""'destruction"", ""'disaster"", ""'explosion"", ""'missile"", ""'security"", ""'terrorism"", ""'wreckage""]"
00265.txt,"[""'death"", ""'die"", ""'militaristic"", ""'military"", ""'seize""]"
03903.txt,"[""'die"", ""'disaster"", ""'injuries"", ""'secret"", ""'war""]"
03322.txt,"[""'attack"", ""'invasion"", ""'military"", ""'missile"", ""'war""]"
00110.txt,"[""'attack"", ""'fight"", ""'military"", ""'rebel"", ""'security"", ""'war""]"
00311.txt,"[""'assault"", ""'fighter"", ""'proliferation"", ""'security"", ""'threat""]"
03268.txt,"[""'annihilate"", ""'death"", ""'fight"", ""'strategist"", ""'target""]"
02644.txt,"[""'land"", ""'military"", ""'sabotage"", ""'security"", ""'weapons""]"
04243.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'radical"", ""'war""]"
02296.txt,"[""'chaos"", ""'disease"", ""'fight"", ""'military"", ""'suspect""]"
01128.txt,"[""'bomb"", ""'dead"", ""'explosion"", ""'missile"", ""'sabotage"", ""'security"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
02737.txt,"[""'aggression"", ""'assault"", ""'attack"", ""'military"", ""'missile"", ""'reconnaissance"", ""'retaliation"", ""'security"", ""'submarine"", ""'threat"", ""'war""]"
03799.txt,"[""'kill"", ""'murder"", ""'suspect"", ""'threaten"", ""'violence""]"
00995.txt,"[""'bomb"", ""'trap"", ""'dead"", ""'disaster"", ""'explosion"", ""'suspect"", ""'terrorism"", ""'wreckage""]"
01412.txt,"[""'destruction"", ""'guns"", ""'land"", ""'guns"", ""'tank""]"
02549.txt,"[""'fight"", ""'injuries"", ""'machine"", ""'outbreak"", ""'violence""]"
00551.txt,"[""'casualties"", ""'invasion"", ""'military"", ""'outbreak"", ""'rebel"", ""'rebellion"", ""'reconnaissance"", ""'security"", ""'target""]"
01456.txt,"[""'land"", ""'security"", ""'strategy"", ""'tactics"", ""'war""]"
03155.txt,"[""'bomb"", ""'coalition"", ""'destroy"", ""'escape"", ""'bombs"", ""'military"", ""'missile"", ""'satellite"", ""'strategic"", ""'suspect"", ""'tactics"", ""'threat"", ""'war"", ""'warheads"", ""'weapon"", ""'weapons""]"
00559.txt,"[""'attack"", ""'dead"", ""'explosion"", ""'military"", ""'rebel"", ""'rocket"", ""'security"", ""'war""]"
02875.txt,"[""'attack"", ""'disease"", ""'suffering"", ""'threat"", ""'war""]"
03405.txt,"[""'attack"", ""'guns"", ""'investigate"", ""'guns"", ""'terrorist""]"
04418.txt,"[""'captive"", ""'destroy"", ""'invasion"", ""'military"", ""'rebel"", ""'security""]"
04420.txt,"[""'attack"", ""'secret"", ""'strategic"", ""'suspect"", ""'tactics"", ""'war""]"
00777.txt,"[""'assault"", ""'breach"", ""'death"", ""'disease"", ""'interrogation""]"
00233.txt,"[""'coalition"", ""'dead"", ""'invasion"", ""'military"", ""'missile"", ""'mission"", ""'strategic""]"
00418.txt,"[""'attack"", ""'military"", ""'security"", ""'terrorist"", ""'war"", ""'weapons""]"
01248.txt,"[""'bomb"", ""'destruction"", ""'explosion"", ""'target"", ""'terrorism"", ""'terrorist"", ""'war""]"
04426.txt,"[""'coalition"", ""'militant"", ""'military"", ""'security"", ""'terrorism""]"
03895.txt,"[""'attack"", ""'bomb"", ""'bombs"", ""'military"", ""'terrorist"", ""'threat"", ""'weapon"", ""'weapons""]"
02348.txt,"[""'attack"", ""'coalition"", ""'death"", ""'disaster"", ""'disastrous"", ""'land"", ""'massacre"", ""'penetration"", ""'tactics"", ""'target"", ""'war""]"
02569.txt,"[""'dead"", ""'rebel"", ""'security"", ""'war"", ""'weapons""]"
03231.txt,"[""'attack"", ""'bomb"", ""'chaos"", ""'detonate"", ""'military"", ""'radiation"", ""'reconnaissance"", ""'target"", ""'terrorist"", ""'weapons""]"
00459.txt,"[""'attack"", ""'dead"", ""'radical"", ""'rebel"", ""'security"", ""'strategic"", ""'threat"", ""'violence""]"
02626.txt,"[""'warfare"", ""'military"", ""'rebel"", ""'siege"", ""'tactics"", ""'war""]"
01635.txt,"[""'attack"", ""'death"", ""'disease"", ""'fight"", ""'target""]"
