file,values
04424.txt,"[""'breach"", ""'invasion"", ""'investigations"", ""'security""]"
01381.txt,"[""'attack"", ""'fight"", ""'strategist"", ""'strategy"", ""'target""]"
00531.txt,"[""'attack"", ""'satellite"", ""'strategic""]"
02056.txt,"[""'disaster"", ""'explosive"", ""'holocaust"", ""'secrecy"", ""'strategic"", ""'suffering"", ""'tactics"", ""'war"", ""'weapons""]"
00618.txt,"[""'fatal"", ""'vitriol"", ""'war""]"
01048.txt,"[""'escape"", ""'hostility"", ""'strategy"", ""'target""]"
00096.txt,"[""'bomb"", ""'hijacker"", ""'surrender""]"
03889.txt,"[""'attack"", ""'guns"", ""'investigate"", ""'guns"", ""'terrorist""]"
00863.txt,"[""'dead"", ""'kill"", ""'menace"", ""'outbreak"", ""'siege"", ""'war""]"
00736.txt,"[""'death"", ""'land"", ""'secret""]"
03531.txt,"[""'investigate"", ""'strategic"", ""'strategy""]"
03359.txt,"[""'death"", ""'land"", ""'security""]"
03363.txt,"[""'brutality"", ""'chaos"", ""'destroy"", ""'die"", ""'fight"", ""'murder"", ""'violence"", ""'war""]"
04024.txt,"[""'anarchy"", ""'disastrous"", ""'military"", ""'missile"", ""'suffering"", ""'threat"", ""'war"", ""'weapons""]"
00231.txt,"[""'attack"", ""'death"", ""'die"", ""'investigate"", ""'military"", ""'security""]"
00554.txt,"[""'guns"", ""'guns"", ""'military"", ""'radical"", ""'threat"", ""'war""]"
00062.txt,"[""'bomb"", ""'guns"", ""'guns"", ""'security"", ""'suspect"", ""'terrorism"", ""'weapons""]"
03316.txt,"[""'land"", ""'strategist"", ""'strategy"", ""'terrorism""]"
01239.txt,"[""'conspiracy"", ""'death"", ""'warfare"", ""'military"", ""'secrecy"", ""'secret"", ""'tactics"", ""'war""]"
02815.txt,"[""'assault"", ""'attack"", ""'casualties"", ""'dead"", ""'destroy"", ""'military"", ""'rebel"", ""'retaliation"", ""'revenge""]"
00580.txt,"[""'die"", ""'injuries"", ""'suffering""]"
01986.txt,"[""'coalition"", ""'security"", ""'war""]"
01291.txt,"[""'security"", ""'strategy"", ""'tank""]"
00420.txt,"[""'hostile"", ""'mines"", ""'mines""]"
02427.txt,"[""'explosion"", ""'strategy"", ""'terrorism""]"
01815.txt,"[""'radical"", ""'strategy"", ""'weapon""]"
02214.txt,"[""'attack"", ""'military"", ""'missile""]"
04288.txt,"[""'chaos"", ""'fight"", ""'military""]"
02263.txt,"[""'defiant"", ""'land"", ""'military"", ""'security"", ""'strategy"", ""'war""]"
00723.txt,"[""'brutal"", ""'destroy"", ""'disastrous"", ""'escape"", ""'land"", ""'secret""]"
04290.txt,"[""'defiant"", ""'fight"", ""'rage"", ""'war""]"
01876.txt,"[""'death"", ""'destruction"", ""'disaster"", ""'explosion"", ""'missile"", ""'security"", ""'terrorism"", ""'wreckage""]"
03262.txt,"[""'security"", ""'terrorism"", ""'threat""]"
03903.txt,"[""'die"", ""'disaster"", ""'injuries"", ""'secret"", ""'war""]"
01218.txt,"[""'mines"", ""'mines"", ""'threat""]"
00182.txt,"[""'bomb"", ""'disaster"", ""'explosion"", ""'explosive"", ""'injuries"", ""'missile"", ""'tank"", ""'wreckage""]"
01636.txt,"[""'carnage"", ""'explosion"", ""'security"", ""'wreckage""]"
00134.txt,"[""'attack"", ""'brutal"", ""'machine"", ""'notorious"", ""'seize"", ""'war""]"
02737.txt,"[""'aggression"", ""'assault"", ""'attack"", ""'military"", ""'missile"", ""'reconnaissance"", ""'retaliation"", ""'security"", ""'submarine"", ""'threat"", ""'war""]"
04365.txt,"[""'attack"", ""'devastation"", ""'tank"", ""'war""]"
03976.txt,"[""'investigations"", ""'land"", ""'suspect""]"
01412.txt,"[""'destruction"", ""'guns"", ""'land"", ""'guns"", ""'tank""]"
01838.txt,"[""'fight"", ""'terrorist"", ""'war""]"
00551.txt,"[""'casualties"", ""'invasion"", ""'military"", ""'outbreak"", ""'rebel"", ""'rebellion"", ""'reconnaissance"", ""'security"", ""'target""]"
01534.txt,"[""'casualties"", ""'machine"", ""'security""]"
04444.txt,"[""'die"", ""'explosion"", ""'security"", ""'tactics"", ""'target"", ""'violence""]"
02897.txt,"[""'attack"", ""'death"", ""'military""]"
02136.txt,"[""'disaster"", ""'guided"", ""'mission"", ""'war""]"
03231.txt,"[""'attack"", ""'bomb"", ""'chaos"", ""'detonate"", ""'military"", ""'radiation"", ""'reconnaissance"", ""'target"", ""'terrorist"", ""'weapons""]"
00459.txt,"[""'attack"", ""'dead"", ""'radical"", ""'rebel"", ""'security"", ""'strategic"", ""'threat"", ""'violence""]"
00869.txt,"[""'strategy"", ""'war"", ""'weapons""]"
04472.txt,"[""'fight"", ""'genocide"", ""'military"", ""'security"", ""'violence"", ""'war""]"
02894.txt,"[""'assault"", ""'attack"", ""'kill""]"
01728.txt,"[""'trap"", ""'escape"", ""'fatal"", ""'mission"", ""'radical"", ""'satellite"", ""'surrender"", ""'weapons""]"
01349.txt,"[""'brutal"", ""'dead"", ""'death"", ""'disease"", ""'invasion"", ""'military"", ""'radical"", ""'rebel"", ""'violence"", ""'war""]"
03928.txt,"[""'land"", ""'mission"", ""'retaliation"", ""'threat""]"
02354.txt,"[""'attack"", ""'fight"", ""'bombs"", ""'hostile"", ""'military"", ""'mission"", ""'rage"", ""'security"", ""'threat"", ""'war""]"
03601.txt,"[""'fight"", ""'land"", ""'mission"", ""'strategy"", ""'tank""]"
03839.txt,"[""'dead"", ""'deadly"", ""'death"", ""'invasion"", ""'kill"", ""'military"", ""'violence""]"
02648.txt,"[""'attack"", ""'military"", ""'rebel"", ""'war""]"
03817.txt,"[""'attack"", ""'bomb"", ""'flee"", ""'interrogation"", ""'militant"", ""'military"", ""'overthrow"", ""'secret"", ""'security"", ""'suspect""]"
03078.txt,"[""'casualties"", ""'death"", ""'injuries"", ""'military""]"
02536.txt,"[""'attack"", ""'fight"", ""'notorious"", ""'rebellion"", ""'tactics"", ""'terror"", ""'war""]"
02287.txt,"[""'military"", ""'security"", ""'weapons""]"
00895.txt,"[""'death"", ""'die"", ""'fatal"", ""'kill"", ""'murder"", ""'secrecy"", ""'secret"", ""'suffering""]"
00147.txt,"[""'trap"", ""'explosive"", ""'kill"", ""'target""]"
01372.txt,"[""'military"", ""'rocket"", ""'satellite"", ""'strategy""]"
02936.txt,"[""'conspiracy"", ""'disease"", ""'fight"", ""'strategy""]"
01839.txt,"[""'military"", ""'threat"", ""'threaten"", ""'war""]"
00505.txt,"[""'conspiracy"", ""'military"", ""'radical"", ""'tank"", ""'threat""]"
01623.txt,"[""'attack"", ""'bomb"", ""'disaster"", ""'explode"", ""'explosion"", ""'investigations"", ""'military"", ""'missile"", ""'security"", ""'terrorism"", ""'terrorist"", ""'wreckage""]"
04151.txt,"[""'mines"", ""'mines"", ""'suspect""]"
02286.txt,"[""'dead"", ""'die"", ""'investigate"", ""'machine"", ""'military"", ""'strategy""]"
00816.txt,"[""'deadly"", ""'military"", ""'mission""]"
00489.txt,"[""'death"", ""'machine"", ""'strategy""]"
00830.txt,"[""'die"", ""'fight"", ""'strategy"", ""'target""]"
03055.txt,"[""'attack"", ""'fight"", ""'military"", ""'rebel"", ""'security""]"
03131.txt,"[""'coalition"", ""'fight"", ""'military""]"
04324.txt,"[""'explode"", ""'strategy"", ""'target""]"
02966.txt,"[""'fight"", ""'fighter"", ""'investigations""]"
03155.txt,"[""'bomb"", ""'coalition"", ""'destroy"", ""'escape"", ""'bombs"", ""'military"", ""'missile"", ""'satellite"", ""'strategic"", ""'suspect"", ""'tactics"", ""'threat"", ""'war"", ""'warheads"", ""'weapon"", ""'weapons""]"
02521.txt,"[""'destruction"", ""'guns"", ""'hostility"", ""'guns"", ""'military"", ""'mortars"", ""'radiation"", ""'reconnaissance"", ""'secret"", ""'security"", ""'strategic"", ""'terrorism"", ""'terrorist"", ""'threat"", ""'weapon"", ""'weapons""]"
01665.txt,"[""'captive"", ""'death"", ""'fatal"", ""'injuries"", ""'security""]"
00842.txt,"[""'death"", ""'die"", ""'fight""]"
02467.txt,"[""'attack"", ""'death"", ""'die"", ""'disease"", ""'mission"", ""'notorious"", ""'radical""]"
01528.txt,"[""'coalition"", ""'fight"", ""'strategic""]"
02755.txt,"[""'fight"", ""'militant"", ""'security"", ""'target""]"
03586.txt,"[""'invasion"", ""'militia"", ""'rebel"", ""'secret""]"
02149.txt,"[""'attack"", ""'strategy"", ""'war""]"
00293.txt,"[""'fight"", ""'infantry"", ""'missile"", ""'security"", ""'war""]"
03496.txt,"[""'assault"", ""'disaster"", ""'fight"", ""'strategy"", ""'war"", ""'weapons""]"
00864.txt,"[""'fighter"", ""'military"", ""'mission"", ""'war"", ""'warplane""]"
01881.txt,"[""'breach"", ""'explosive"", ""'kill""]"
02259.txt,"[""'dead"", ""'security"", ""'threat"", ""'weapons""]"
02918.txt,"[""'death"", ""'military"", ""'strategy"", ""'war""]"
00290.txt,"[""'casualties"", ""'machine"", ""'surrender"", ""'war""]"
04451.txt,"[""'attack"", ""'carnage"", ""'chaos"", ""'death"", ""'bombs"", ""'military"", ""'mission"", ""'security"", ""'war""]"
03949.txt,"[""'assault"", ""'fight"", ""'military"", ""'violence"", ""'war""]"
03845.txt,"[""'attack"", ""'bomb"", ""'destroy"", ""'explode"", ""'explosion"", ""'explosive"", ""'missile"", ""'rocket"", ""'target"", ""'wreckage""]"
04034.txt,"[""'casualties"", ""'disaster"", ""'evacuate"", ""'flee"", ""'tank"", ""'threaten""]"
02773.txt,"[""'explosion"", ""'mission"", ""'threat""]"
00125.txt,"[""'attack"", ""'military"", ""'missile"", ""'security""]"
00485.txt,"[""'dead"", ""'death"", ""'military"", ""'security""]"
02859.txt,"[""'death"", ""'die"", ""'evacuate"", ""'rebel"", ""'threat"", ""'threaten""]"
01798.txt,"[""'coalition"", ""'execute"", ""'fight"", ""'military"", ""'radical"", ""'strategy"", ""'tank""]"
02093.txt,"[""'military"", ""'strategy"", ""'target""]"
01775.txt,"[""'land"", ""'secret"", ""'wreckage""]"
00778.txt,"[""'guns"", ""'guns"", ""'terrorize""]"
03606.txt,"[""'military"", ""'security"", ""'terrorist""]"
02687.txt,"[""'carnage"", ""'security"", ""'strategist"", ""'suspect"", ""'wreckage""]"
02964.txt,"[""'land"", ""'satellite"", ""'weapons""]"
02161.txt,"[""'attack"", ""'disease"", ""'security"", ""'strategic"", ""'strategy"", ""'suffering""]"
02664.txt,"[""'explosion"", ""'terrorism"", ""'terrorist""]"
02115.txt,"[""'land"", ""'military"", ""'security""]"
00668.txt,"[""'disastrous"", ""'execute"", ""'mission"", ""'radical"", ""'strategy""]"
01324.txt,"[""'warfare"", ""'radical"", ""'war""]"
02674.txt,"[""'bomb"", ""'bombs"", ""'security""]"
01538.txt,"[""'mission"", ""'secret"", ""'war""]"
00639.txt,"[""'bombs"", ""'security"", ""'tank"", ""'threat""]"
01300.txt,"[""'coalition"", ""'military"", ""'weapons""]"
02060.txt,"[""'chaos"", ""'disaster"", ""'security"", ""'strategy"", ""'war""]"
02523.txt,"[""'coalition"", ""'fatal"", ""'fight"", ""'seize""]"
00682.txt,"[""'assault"", ""'attack"", ""'death"", ""'radical"", ""'sabotage"", ""'threat"", ""'weapons""]"
03894.txt,"[""'attack"", ""'disastrous"", ""'missile"", ""'notorious"", ""'security"", ""'tank"", ""'target"", ""'threat""]"
01151.txt,"[""'coalition"", ""'military"", ""'security"", ""'target""]"
01536.txt,"[""'coalition"", ""'militant"", ""'military"", ""'radical"", ""'rebellion"", ""'strategic"", ""'threat"", ""'war""]"
02055.txt,"[""'deadly"", ""'disaster"", ""'land"", ""'mines"", ""'mines"", ""'wreckage""]"
01747.txt,"[""'aggression"", ""'destroy"", ""'savage"", ""'security"", ""'violence"", ""'war""]"
00684.txt,"[""'investigate"", ""'militaristic"", ""'mistreatment"", ""'security"", ""'strategy"", ""'target"", ""'violence""]"
01813.txt,"[""'disaster"", ""'explosion"", ""'rocket"", ""'secrecy"", ""'secret"", ""'satellite"", ""'target""]"
00369.txt,"[""'dead"", ""'rebel"", ""'war""]"
01688.txt,"[""'explode"", ""'strategist"", ""'strategy"", ""'suspect""]"
02788.txt,"[""'attack"", ""'explosion"", ""'machine"", ""'military"", ""'vicious"", ""'war""]"
04452.txt,"[""'military"", ""'missile"", ""'strategist""]"
00939.txt,"[""'military"", ""'rebel"", ""'security"", ""'threat""]"
04201.txt,"[""'dead"", ""'land"", ""'mission"", ""'target""]"
02295.txt,"[""'attack"", ""'death"", ""'guns"", ""'machine"", ""'guns"", ""'war""]"
02490.txt,"[""'death"", ""'die"", ""'disease""]"
01946.txt,"[""'bomb"", ""'bombs"", ""'security"", ""'surrender"", ""'terrorism""]"
00258.txt,"[""'coalition"", ""'fight"", ""'war""]"
01557.txt,"[""'murder"", ""'security"", ""'suffering"", ""'violence""]"
04081.txt,"[""'destroy"", ""'military"", ""'satellite"", ""'tactics""]"
00578.txt,"[""'attack"", ""'bomb"", ""'fatal"", ""'fight"", ""'mission""]"
00454.txt,"[""'attack"", ""'bomb"", ""'disaster"", ""'explode"", ""'explosion"", ""'explosive"", ""'bombs"", ""'military"", ""'missile"", ""'tank""]"
02631.txt,"[""'destroy"", ""'destruction"", ""'strategy""]"
02725.txt,"[""'land"", ""'mines"", ""'mines""]"
01446.txt,"[""'fight"", ""'guns"", ""'land"", ""'guns"", ""'mission"", ""'munitions"", ""'submarine"", ""'war""]"
03224.txt,"[""'mission"", ""'strategy"", ""'weapons""]"
04169.txt,"[""'assault"", ""'capture"", ""'guns"", ""'investigate"", ""'machine"", ""'guns"", ""'strategy"", ""'tactics""]"
02370.txt,"[""'deadly"", ""'disease"", ""'threat""]"
01106.txt,"[""'attack"", ""'secret"", ""'security""]"
03924.txt,"[""'assault"", ""'attack"", ""'fight"", ""'investigate"", ""'military"", ""'security"", ""'violence"", ""'war""]"
03556.txt,"[""'capture"", ""'death"", ""'execution"", ""'fight"", ""'hostile"", ""'military"", ""'murder"", ""'security"", ""'suspect"", ""'vociferous"", ""'war""]"
00988.txt,"[""'assault"", ""'war"", ""'weapon""]"
01756.txt,"[""'brutal"", ""'death"", ""'disease"", ""'military"", ""'overthrow"", ""'retaliation"", ""'retribution"", ""'revenge"", ""'seize"", ""'violence""]"
03426.txt,"[""'military"", ""'security"", ""'war""]"
03054.txt,"[""'explode"", ""'fight"", ""'suffering"", ""'weapons""]"
00703.txt,"[""'bombs"", ""'secret"", ""'war""]"
04033.txt,"[""'fight"", ""'strategy"", ""'target"", ""'threat""]"
03707.txt,"[""'execute"", ""'explosive"", ""'strategy""]"
02602.txt,"[""'anguish"", ""'dead"", ""'destroy"", ""'vile""]"
00406.txt,"[""'explosion"", ""'invasion"", ""'murder"", ""'strategic"", ""'target"", ""'terrorism"", ""'threat"", ""'war"", ""'weapons""]"
01145.txt,"[""'attack"", ""'coalition"", ""'death"", ""'security""]"
04399.txt,"[""'casualties"", ""'machine"", ""'strategy"", ""'surrender"", ""'war""]"
02449.txt,"[""'disastrous"", ""'seize"", ""'threat""]"
03728.txt,"[""'warfare"", ""'overthrow"", ""'radical"", ""'terror""]"
01788.txt,"[""'assault"", ""'attack"", ""'coalition"", ""'die"", ""'fight"", ""'warfare"", ""'mission"", ""'surrender"", ""'tragic"", ""'vicious"", ""'war"", ""'weapons""]"
02530.txt,"[""'brutal"", ""'brutality"", ""'dead"", ""'death"", ""'war""]"
00131.txt,"[""'military"", ""'rocket"", ""'security"", ""'strategic"", ""'tank"", ""'threat"", ""'war"", ""'weapons""]"
01906.txt,"[""'destroy"", ""'invasion"", ""'military"", ""'security"", ""'war"", ""'weapons""]"
01413.txt,"[""'death"", ""'explosion"", ""'bombs"", ""'security"", ""'terrorism"", ""'tragic"", ""'wreckage""]"
02106.txt,"[""'attack"", ""'explosion"", ""'machine"", ""'military"", ""'vicious"", ""'war""]"
04181.txt,"[""'annihilate"", ""'attack"", ""'destruction"", ""'kill"", ""'military"", ""'missile"", ""'rocket"", ""'secret"", ""'security"", ""'strategic"", ""'submarine"", ""'target"", ""'threat"", ""'threaten"", ""'war"", ""'warheads"", ""'weapon"", ""'weapons""]"
01079.txt,"[""'attack"", ""'bomb"", ""'die"", ""'bombs"", ""'mission"", ""'outbreak"", ""'strategy"", ""'terror"", ""'violence""]"
01507.txt,"[""'secret"", ""'security"", ""'terrorism""]"
00315.txt,"[""'attack"", ""'coalition"", ""'hostile"", ""'military"", ""'missile"", ""'murder"", ""'revenge"", ""'war""]"
03687.txt,"[""'guns"", ""'invasion"", ""'guns"", ""'military"", ""'strategic"", ""'terrorism"", ""'terrorist"", ""'violence"", ""'war""]"
01816.txt,"[""'death"", ""'machine"", ""'security""]"
04140.txt,"[""'anguish"", ""'disastrous"", ""'kill""]"
01832.txt,"[""'radical"", ""'strategy"", ""'tank"", ""'target""]"
00403.txt,"[""'suffering"", ""'target"", ""'threat""]"
04391.txt,"[""'annihilate"", ""'death"", ""'fight"", ""'strategist"", ""'target""]"
03355.txt,"[""'explosive"", ""'investigate"", ""'investigations"", ""'security""]"
01533.txt,"[""'death"", ""'land"", ""'machine"", ""'tactics""]"
02969.txt,"[""'death"", ""'kill"", ""'missile"", ""'threaten""]"
00240.txt,"[""'fight"", ""'warfare"", ""'mayhem"", ""'military"", ""'rebel"", ""'seize"", ""'violence""]"
03113.txt,"[""'radical"", ""'secret"", ""'strategic""]"
02407.txt,"[""'bomb"", ""'destroy"", ""'fight"", ""'kill"", ""'land"", ""'terrorism"", ""'war""]"
03890.txt,"[""'fight"", ""'missile"", ""'security"", ""'strategic""]"
03066.txt,"[""'missile"", ""'war"", ""'weapons""]"
00950.txt,"[""'death"", ""'explosive"", ""'land"", ""'security""]"
00097.txt,"[""'breach"", ""'execute"", ""'warfare""]"
00195.txt,"[""'explosion"", ""'injuries"", ""'security"", ""'suffering""]"
03689.txt,"[""'secret"", ""'strategy"", ""'vitriol""]"
00587.txt,"[""'assault"", ""'missile"", ""'strategist"", ""'strategy"", ""'war""]"
03711.txt,"[""'attack"", ""'land"", ""'machine"", ""'radical"", ""'target""]"
02103.txt,"[""'attack"", ""'guided"", ""'injuries""]"
02078.txt,"[""'security"", ""'terrorism"", ""'violence""]"
01730.txt,"[""'attack"", ""'kill"", ""'murder""]"
00265.txt,"[""'death"", ""'die"", ""'militaristic"", ""'military"", ""'seize""]"
00311.txt,"[""'assault"", ""'fighter"", ""'proliferation"", ""'security"", ""'threat""]"
02644.txt,"[""'land"", ""'military"", ""'sabotage"", ""'security"", ""'weapons""]"
01772.txt,"[""'death"", ""'hijack"", ""'war""]"
03633.txt,"[""'death"", ""'land"", ""'savage""]"
00995.txt,"[""'bomb"", ""'trap"", ""'dead"", ""'disaster"", ""'explosion"", ""'suspect"", ""'terrorism"", ""'wreckage""]"
03654.txt,"[""'breach"", ""'coalition"", ""'military"", ""'strategic"", ""'strategy"", ""'war""]"
02452.txt,"[""'conspiracy"", ""'investigations"", ""'suffering""]"
00480.txt,"[""'trap"", ""'military"", ""'security"", ""'strategic"", ""'war""]"
04418.txt,"[""'captive"", ""'destroy"", ""'invasion"", ""'military"", ""'rebel"", ""'security""]"
00418.txt,"[""'attack"", ""'military"", ""'security"", ""'terrorist"", ""'war"", ""'weapons""]"
02787.txt,"[""'capture"", ""'death"", ""'notorious"", ""'war""]"
03255.txt,"[""'fight"", ""'strategy"", ""'target""]"
03232.txt,"[""'bomb"", ""'explosive"", ""'security""]"
03129.txt,"[""'explosion"", ""'revenge"", ""'strategic"", ""'strategy""]"
03851.txt,"[""'explosion"", ""'provocation"", ""'threat"", ""'tragic""]"
02626.txt,"[""'warfare"", ""'military"", ""'rebel"", ""'siege"", ""'tactics"", ""'war""]"
04037.txt,"[""'attack"", ""'fighter"", ""'land"", ""'missile""]"
00739.txt,"[""'attack"", ""'coalition"", ""'defiant"", ""'destroy"", ""'fight"", ""'fighter"", ""'military"", ""'missile"", ""'mission"", ""'strategic"", ""'strategy"", ""'tank"", ""'terrorist"", ""'violence"", ""'war"", ""'warplane""]"
03414.txt,"[""'attack"", ""'military"", ""'missile"", ""'threaten""]"
01574.txt,"[""'attack"", ""'coalition"", ""'explode"", ""'mission"", ""'proliferation"", ""'strategy"", ""'tank"", ""'threaten"", ""'war""]"
02735.txt,"[""'machine"", ""'secret"", ""'strategy""]"
03040.txt,"[""'attack"", ""'bioterrorism"", ""'disease"", ""'tactics"", ""'target"", ""'weapons""]"
02774.txt,"[""'attack"", ""'land"", ""'target""]"
03739.txt,"[""'bomb"", ""'deadly"", ""'explosion"", ""'missile"", ""'wreckage""]"
